"fecha","nombre_provincia_indec","tipo_vehiculo","cantidad"
"2014-06-01",Catamarca,moto,503
"2014-07-01",Catamarca,moto,535
"2014-08-01",Catamarca,moto,470
"2014-09-01",Catamarca,moto,713
"2014-10-01",Catamarca,moto,605
"2014-11-01",Catamarca,moto,455
"2014-12-01",Catamarca,moto,537
"2015-01-01",Catamarca,moto,476
"2015-02-01",Catamarca,moto,361
"2015-03-01",Catamarca,moto,505
"2015-04-01",Catamarca,moto,636
"2015-05-01",Catamarca,moto,584
"2015-06-01",Catamarca,moto,562
"2015-07-01",Catamarca,moto,637
"2015-08-01",Catamarca,moto,661
"2015-09-01",Catamarca,moto,701
"2015-10-01",Catamarca,moto,566
"2015-11-01",Catamarca,moto,644
"2015-12-01",Catamarca,moto,611
"2016-01-01",Catamarca,moto,620
"2016-02-01",Catamarca,moto,476
"2016-03-01",Catamarca,moto,634
"2016-04-01",Catamarca,moto,597
"2016-05-01",Catamarca,moto,469
"2016-06-01",Catamarca,moto,437
"2016-07-01",Catamarca,moto,472
"2016-08-01",Catamarca,moto,557
"2016-09-01",Catamarca,moto,481
"2016-10-01",Catamarca,moto,484
"2016-11-01",Catamarca,moto,652
"2016-12-01",Catamarca,moto,646
"2017-01-01",Catamarca,moto,621
"2017-02-01",Catamarca,moto,712
"2017-03-01",Catamarca,moto,823
"2017-04-01",Catamarca,moto,939
"2017-05-01",Catamarca,moto,949
"2017-06-01",Catamarca,moto,728
"2017-07-01",Catamarca,moto,856
"2017-08-01",Catamarca,moto,923
"2017-09-01",Catamarca,moto,848
"2017-10-01",Catamarca,moto,809
"2017-11-01",Catamarca,moto,842
"2017-12-01",Catamarca,moto,794
"2018-01-01",Catamarca,moto,859
"2018-02-01",Catamarca,moto,593
"2018-03-01",Catamarca,moto,766
"2018-04-01",Catamarca,moto,950
"2018-05-01",Catamarca,moto,1006
"2018-06-01",Catamarca,moto,635
"2018-07-01",Catamarca,moto,592
"2018-08-01",Catamarca,moto,582
"2018-09-01",Catamarca,moto,525
"2018-10-01",Catamarca,moto,473
"2018-11-01",Catamarca,moto,393
"2018-12-01",Catamarca,moto,370
"2019-01-01",Catamarca,moto,493
"2019-02-01",Catamarca,moto,417
"2019-03-01",Catamarca,moto,384
"2019-04-01",Catamarca,moto,416
"2019-05-01",Catamarca,moto,336
"2019-06-01",Catamarca,moto,310
